workclass,education,marital_status,occupation,relationship,race,sex,native_country,age_bin,education_years_bin,hours_bin,high_income
State-gov,college,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Self-emp-not-inc,college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Divorced,Handlers-cleaners,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,pre-college,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,United-States,35-44,9-12,standard_40,<=50K
Private,college,Married-civ-spouse,Prof-specialty,Wife,Black,Female,Cuba,35-44,9-12,standard_40,<=50K
Private,college,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,pre-college,Married-spouse-absent,Other-service,Not-in-family,Black,Female,Jamaica,35-44,9-12,standard_40,<=50K
Self-emp-not-inc,somecollege,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,college,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,>50K
Private,college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,35-44,9-12,standard_40,>50K
State-gov,college,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,India,35-44,9-12,standard_40,>50K
Private,college,Never-married,Adm-clerical,Own-child,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Sales,Not-in-family,Black,Male,United-States,35-44,9-12,standard_40,<=50K
Private,pre-college,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,Mexico,35-44,9-12,standard_40,<=50K
Self-emp-not-inc,somecollege,Never-married,Farming-fishing,Own-child,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Machine-op-inspct,Unmarried,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,pre-college,Married-civ-spouse,Sales,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Self-emp-not-inc,college,Divorced,Exec-managerial,Unmarried,White,Female,United-States,35-44,9-12,standard_40,>50K
Private,prof_doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Separated,Other-service,Unmarried,Black,Female,United-States,35-44,9-12,standard_40,<=50K
Federal-gov,pre-college,Married-civ-spouse,Farming-fishing,Husband,Black,Male,United-States,35-44,9-12,standard_40,<=50K
Private,pre-college,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Divorced,Tech-support,Unmarried,White,Female,United-States,35-44,9-12,standard_40,<=50K
Local-gov,college,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Never-married,Craft-repair,Own-child,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Local-gov,somecollege,Never-married,Protective-serv,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Sales,Own-child,Black,Male,United-States,35-44,9-12,standard_40,<=50K
Private,college,Divorced,Exec-managerial,Own-child,White,Male,United-States,35-44,9-12,standard_40,<=50K
Federal-gov,somecollege,Married-civ-spouse,Adm-clerical,Own-child,White,Male,United-States,35-44,9-12,standard_40,<=50K
State-gov,somecollege,Married-civ-spouse,Other-service,Husband,Black,Male,United-States,35-44,9-12,standard_40,<=50K
Private,pre-college,Never-married,Machine-op-inspct,Unmarried,White,Male,Puerto-Rico,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Machine-op-inspct,Own-child,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-AF-spouse,Adm-clerical,Wife,White,Female,United-States,35-44,9-12,standard_40,<=50K
Self-emp-not-inc,somecollege,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,pre-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Self-emp-not-inc,college,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,college,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Separated,Adm-clerical,Unmarried,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
